index,ant_a,ant_b,vis
146,0,2,0.28927789408773913+0.5927566692083428i
147,0,2,0.003653174634082268+0.9701506933645284i
148,0,2,0.1836740780419797+0.795948194536243i
149,0,2,0.03732649484018366+0.7998653962111809i
150,0,2,0.285415448284115+0.8142643760999648i
151,0,2,0.21651177478871522+0.9593512142374645i
152,0,2,0.32166582983210057+0.8642500581393152i
153,0,2,0.16537988333191928+0.9484293177046181i
154,0,2,0.24569503953317035+0.7530202853642329i
155,0,2,0.17052047500375694+0.8961283785420796i
156,0,2,0.257106005282647+0.9803656674212081i
157,0,2,0.23707188238874086+0.8665874668981915i
158,0,2,0.35523008008461543+0.9311007093225301i
159,0,2,0.11929946327976208+0.7721411786667298i
160,0,2,0.13295172599288885+0.9382584315047713i
161,0,2,0.24307160193157806+0.8436222315592792i
162,0,2,0.29901744628766547+0.8270147527716017i
163,0,2,0.05378074234311764+0.7639461517842175i
164,0,2,0.3165168061466478+0.8366270237917021i
165,0,2,0.20686593389392033+1.0183176200165045i
166,0,2,0.12058348122495118+0.8952358093600311i
167,0,2,0.101551874454124+0.8412178708575406i
168,0,2,0.19497825825824572+0.7751245223269145i
169,0,2,0.12350243920132362+0.6975761036671471i
170,0,2,0.08844148383234521+0.8844012350148177i
171,0,2,0.13747019898289195+0.786918794150875i
172,0,2,0.26547178872181243+0.8582775555056277i
173,0,2,0.23880883390666413+0.8585630157586219i
174,0,2,0.04750965077374733+0.788384509929221i
175,0,2,0.14003539394289585+0.904767541386123i
176,0,2,0.20766976623309688+0.7664943755571684i
177,0,2,0.2538987309931366+0.9173095604910949i
178,0,2,0.20695882186982326+0.8174351232798152i
179,0,2,0.30986214528817857+0.9098139137430645i
180,0,2,0.2836225157401656+0.8769676272155186i
181,0,2,0.13537450056471256+0.9539685796017332i
182,0,2,0.20109189729824736+0.7227427417341754i
183,0,2,0.10278742246391315+0.8612071041412053i
184,0,2,0.15703909816539266+0.7548280346573518i
185,0,2,0.09645070070385725+0.6685911008064209i
186,0,2,0.124429930306184+0.8475315487391736i
187,0,2,0.11627534670498683+0.6927760111667364i
188,0,2,0.15213601040086086+0.8181714928562758i
189,0,2,0.44733600451374683+0.8709027222259581i
190,0,2,0.2185222238387433+0.8987802694688611i
191,0,2,0.23188083471816656+0.936608519774139i
192,0,2,0.19352837573604217+0.8140208617619608i
